"filename", "language", "C++", "PHP", "Markdown", "Python", "JavaScript", "XML", "C", "HTML", "Ini", "CSS", "LaTeX", "Java", "SQL", "Log", "C#", "JSON", "Properties", "Django HTML", "Django txt", "comment", "blank", "total"
"c:\VScode\HTML\Water.html", "HTML", 0, 0, 0, 0, 0, 0, 0, 26, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 29
"c:\VScode\HTML\b.html", "HTML", 0, 0, 0, 0, 0, 0, 0, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 12
"c:\VScode\HTML\bili\bili.css", "CSS", 0, 0, 0, 0, 0, 0, 0, 0, 0, 469, 0, 0, 0, 0, 0, 0, 0, 0, 0, 37, 57, 563
"c:\VScode\HTML\bili\bili.js", "JavaScript", 0, 0, 0, 0, 18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8, 4, 30
"c:\VScode\HTML\bili\img\1.svg", "XML", 0, 0, 0, 0, 0, 10, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 11
"c:\VScode\HTML\bili\img\bili-logo.svg", "XML", 0, 0, 0, 0, 0, 6, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 7
"c:\VScode\HTML\bili\img\bp-svg-icon.eb35343a.svg", "XML", 0, 0, 0, 0, 0, 234, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 236
"c:\VScode\HTML\bili\img\like.svg", "XML", 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1
"c:\VScode\HTML\bili\img\search.svg", "XML", 0, 0, 0, 0, 0, 9, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 10
"c:\VScode\HTML\bili\index.html", "HTML", 0, 0, 0, 0, 0, 0, 0, 259, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 11, 272
"c:\VScode\HTML\bilibili.html", "Django HTML", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -103, 0, 0, -15, -118
"c:\VScode\HTML\root\.user.ini", "Ini", 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1
"c:\VScode\HTML\root\bili.css", "CSS", 0, 0, 0, 0, 0, 0, 0, 0, 0, 469, 0, 0, 0, 0, 0, 0, 0, 0, 0, 37, 57, 563
"c:\VScode\HTML\root\bili.js", "JavaScript", 0, 0, 0, 0, 18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8, 4, 30
"c:\VScode\HTML\root\img\1.svg", "XML", 0, 0, 0, 0, 0, 10, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 11
"c:\VScode\HTML\root\img\bili-logo.svg", "XML", 0, 0, 0, 0, 0, 6, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 7
"c:\VScode\HTML\root\img\bp-svg-icon.eb35343a.svg", "XML", 0, 0, 0, 0, 0, 234, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 236
"c:\VScode\HTML\root\img\like.svg", "XML", 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1
"c:\VScode\HTML\root\img\search.svg", "XML", 0, 0, 0, 0, 0, 9, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 10
"c:\VScode\HTML\root\index.html", "HTML", 0, 0, 0, 0, 0, 0, 0, 259, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 11, 272
"c:\VScode\HTML\root\web.config", "XML", 0, 0, 0, 0, 0, 13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 14
"c:\VScode\HTML\root\web_config\default.config", "XML", 0, 0, 0, 0, 0, 16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 17
